860	282	84	64
859	281	84	64
859	272	84	64
860	255	85	64
869	247	86	62
871	248	84	62
877	239	89	65
878	238	88	65
886	235	84	64
882	240	84	63
894	226	86	63
894	225	86	66
888	244	84	63
887	243	84	63
890	253	85	63
883	261	87	64
877	264	85	61
874	262	87	62
856	273	88	63
856	272	86	63
852	274	86	62
842	280	89	62
832	279	85	61
829	275	83	61
824	275	85	61
823	275	85	61
816	273	85	61
815	278	86	61
820	268	86	62
821	266	84	61
824	254	86	63
824	253	85	64
825	249	85	63
822	259	85	61
828	255	86	61
826	257	85	62
825	256	85	63
825	256	84	62
838	250	85	61
823	259	89	63
818	267	86	62
828	266	85	62
815	285	87	64
814	284	86	65
813	285	85	62
818	283	84	63
809	289	84	62
809	284	84	63
810	282	84	62
810	282	85	62
808	271	84	62
810	268	86	62
806	267	87	62
811	263	87	62
815	262	88	62
815	262	87	62
817	257	87	62
813	255	86	62
810	260	87	66
807	273	86	62
809	275	86	62
809	274	85	63
810	273	88	63
808	273	86	62
812	280	88	63
816	290	86	63
823	294	89	61
823	295	88	62
833	294	90	62
848	303	87	63
843	312	87	62
844	311	87	62
839	308	87	62
838	308	87	62
837	302	86	63
834	293	86	62
830	290	87	62
833	275	90	64
840	267	88	64
840	267	86	64
842	262	89	62
841	262	88	62
849	263	92	63
846	264	91	65
832	270	90	62
833	269	87	63
832	274	90	63
825	276	89	63
820	280	90	63
825	281	89	61
826	285	88	63
826	284	87	63
829	288	90	62
831	290	88	63
832	295	89	63
836	299	89	63
837	303	89	64
837	302	88	63
845	301	90	63
844	303	89	63
837	307	89	63
835	302	88	62
829	300	89	63
829	300	89	62
830	289	89	64
828	282	89	63
822	282	91	64
821	291	88	64
827	293	91	64
827	293	90	63
829	297	91	66
826	303	91	66
828	310	90	65
828	314	91	65
835	310	89	64
836	310	89	63
831	310	90	64
833	309	90	64
832	305	91	64
832	306	91	64
842	301	90	65
841	302	90	64
844	300	90	64
849	289	89	66
852	286	87	66
848	288	83	66
844	288	81	66
844	288	81	66
846	285	73	66
853	279	70	66
856	278	63	66
857	279	64	67
859	277	143	76
858	277	143	77
851	278	142	76
848	280	135	80
847	281	132	83
843	282	127	86
843	281	123	87
844	281	122	87
827	277	128	90
818	273	129	93
803	272	136	94
782	276	137	96
771	275	145	99
773	275	140	98
760	274	151	101
746	271	161	103
734	269	174	108
722	267	171	109
712	264	181	114
715	264	186	115
696	251	186	115
683	251	204	109
830	278	80	81
843	281	77	72
842	272	83	65
842	271	83	65
819	275	92	66
822	264	92	67
819	263	92	67
809	267	92	66
809	266	92	66
